p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.288870325244469	0.444	0.136	0	11	LOC551623
0	0.288600183369588	0.415	0.1	0	11	LOC552258
0	0.28855621378324	0.415	0.101	0	11	LOC552590
0	0.288475243624079	0.471	0.134	0	11	LOC408710
0	0.287987084818862	0.52	0.159	0	11	LOC107964839
0	0.287816315406965	0.4	0.099	0	11	LOC552552
0	0.287753074497462	0.484	0.14	0	11	MT-LOC551403
0	0.287629912699616	1	0.803	0	11	LOC725131
0	0.287610134832602	0.337	0.063	0	11	LOC413275
0	0.287513207461319	0.411	0.099	0	11	LOC725630
0	0.287378808660432	0.482	0.137	0	11	MT-LOC552671
0	0.287360272301977	0.743	0.31	0	11	LOC107966041
0	0.287304112182628	0.56	0.185	0	11	LOC409969
0	0.287240588011268	0.366	0.074	0	11	LOC551384
0	0.286774771923323	0.373	0.081	0	11	LOC413253
0	0.286757207176403	0.526	0.166	0	11	LOC724799
0	0.286695058022174	1	0.792	0	11	LOC551356
0	0.286656760050407	0.402	0.092	0	11	LOC409831
0	0.286628211085087	0.307	0.047	0	11	LOC413916
0	0.286297573757952	0.359	0.074	0	11	LOC725951
0	0.286200858042749	0.574	0.195	0	11	LOC726280
0	0.286128268202624	0.401	0.095	0	11	LOC413091
0	0.285861591888781	0.379	0.084	0	11	LOC414004
0	0.28585516329322	0.456	0.128	0	11	LOC412104
0	0.285809915734512	0.34	0.068	0	11	LOC413625
0	0.285783947129056	0.346	0.069	0	11	LOC551182
0	0.285691930887099	0.434	0.111	0	11	LOC409180
0	0.285555642471422	0.386	0.086	0	11	LOC551832
0	0.285309226772811	0.357	0.073	0	11	LOC102656433
0	0.285196420311052	0.481	0.134	0	11	LOC409308
0	0.28511096273489	0.355	0.07	0	11	LOC100188940
0	0.284933361162053	0.378	0.079	0	11	MT-LOC409549
0	0.284880903734844	0.407	0.129	0	11	Glurb
0	0.284871538017054	0.37	0.08	0	11	LOC413078
0	0.284865802650797	0.29	0.041	0	11	LOC726579
0	0.28479920479668	0.407	0.101	0	11	LOC412313
0	0.284595497367351	0.387	0.089	0	11	LOC107963962
0	0.284456498420899	0.571	0.196	0	11	LOC409928
0	0.284420213383016	0.36	0.078	0	11	LOC408602
0	0.2843634577698	0.324	0.055	0	11	MT-LOC727534
0	0.284274528298768	0.397	0.096	0	11	LOC412646
0	0.284250656490455	0.335	0.061	0	11	LOC725743
0	0.284203252282166	0.718	0.29	0	11	LOC552684
